역명,Year,승차총승객수,하차총승객수
신답,2019,1603.328767,1760.482192
신답,2020,1263.838798,1416.139344
신답,2021,1298.852055,1485.564384
신답,2022,1474.542466,1628.424658
신답,2023,1550.715068,1708.589041
신답,2024,1535.193431,1683.740876
신당,2019,15046.41096,15587.27123
신당,2020,11465.32514,11783.11475
신당,2021,11541.94795,11990.89589
신당,2022,12718.43836,13197.64932
신당,2023,13946.26301,14624.26575
신당,2024,14216.12774,14968.87591
신대방,2019,28907.38904,27576.5863
신대방,2020,22272.05738,21342.92077
신대방,2021,22060.7863,21487.97808
신대방,2022,23401.12055,22668.27397
신대방,2023,24463.31507,23606.41918
신대방,2024,24281.58759,23412.62044
신도림,2019,58899.70959,58541.75342
신도림,2020,41587.8388,40956.28415
신도림,2021,40359.39452,39681.96712
신도림,2022,43743.69041,43767.00274
신도림,2023,47547.76164,46837.76438
신도림,2024,48535.56934,47633.42701
신림,2019,70358.50411,68409.87671
신림,2020,54015.55738,52096.64208
신림,2021,52800.33699,51294.16438
신림,2022,54648.10685,52706.89589
신림,2023,53230.63288,51072.87671
신림,2024,52439.90511,50491.64234
신설동,2019,4351.660274,4173.30137
신설동,2020,2895.31694,2847.166667
신설동,2021,2899.073973,2815.389041
신설동,2022,3362.665753,3222.038356
신설동,2023,3635.216438,3560.558904
신설동,2024,3681.733577,3588.277372
신정네거리,2019,10004.39178,10281.64384
신정네거리,2020,7808.778689,8049.726776
신정네거리,2021,8454.205479,8732.126027
신정네거리,2022,9230.084932,9429.605479
신정네거리,2023,9748.035616,10033.03562
신정네거리,2024,9689.649635,9958.036496
신촌,2019,47341.37534,48405.92603
신촌,2020,28481.00273,29503.5765
신촌,2021,27122.89315,27714.66849
신촌,2022,32580.43014,32996.12603
신촌,2023,37105.8411,37565.66027
신촌,2024,36987.57299,37718.05474
아현,2019,10883.48767,10461.10959
아현,2020,8050.532787,7682.308743
아현,2021,8548.769863,8244.50137
아현,2022,9380.791781,8918.20274
아현,2023,10322.83014,9641.405479
아현,2024,10402.86131,9669.912409
양천구청,2019,7229.665753,7535.671233
양천구청,2020,5373.759563,5620.923497
양천구청,2021,5501.079452,5812.471233
양천구청,2022,6082.29863,6265.769863
양천구청,2023,6512.632877,6804.786301
양천구청,2024,6424.620438,6726.642336
역삼,2019,46966.42466,52229.50411
역삼,2020,37466.75956,41436.4235
역삼,2021,37830.55616,41632.52329
역삼,2022,41749.72055,46849.5863
역삼,2023,44717.99726,50591.98356
역삼,2024,44687.9854,50670.81022
영등포구청,2019,21931.64658,22219.71233
영등포구청,2020,17899.39617,18177.85246
영등포구청,2021,18162.78904,18409.19178
영등포구청,2022,18811.4137,19461.7863
영등포구청,2023,19797.0411,20333.8411
영등포구청,2024,20526.31387,21100.4854
왕십리(성동구청),2019,19893.82466,16261.61918
왕십리(성동구청),2020,13477.53825,11253.80328
왕십리(성동구청),2021,13235.95068,10950.96164
왕십리(성동구청),2022,15043.85753,12640.89589
왕십리(성동구청),2023,15260.86849,13435.83014
왕십리(성동구청),2024,15190.75547,13777.78467
용답,2019,2773.243836,2805.142466
용답,2020,2142.153005,2084.945355
용답,2021,2276.556164,2260.989041
용답,2022,2682.690411,2685.010959
용답,2023,2812.690411,2798.038356
용답,2024,2856.153285,2829.306569
용두(동대문구청),2019,2408.657534,2481.364384
용두(동대문구청),2020,1878.038251,1955.418033
용두(동대문구청),2021,1954.613699,2002.032877
용두(동대문구청),2022,2124.180822,2133.139726
용두(동대문구청),2023,2318.153425,2298.224658
용두(동대문구청),2024,2381.952555,2404.919708
을지로3가,2019,22979.41644,22817.53151
을지로3가,2020,16255.37158,16227.53825
을지로3가,2021,16532.74521,16357.73151
을지로3가,2022,19603.53699,19627.71507
을지로3가,2023,22572.1589,22303.12603
을지로3가,2024,23171.0219,22983.5146
을지로4가,2019,12476.2,12469.54795
을지로4가,2020,10051.53825,9969.896175
을지로4가,2021,9991.624658,9900.287671
을지로4가,2022,11190.96438,11256.82192
을지로4가,2023,12860.61644,13040.72055
을지로4가,2024,13040.73723,13087.71898
을지로입구,2019,50695.43562,50288.23288
을지로입구,2020,31342.04372,31854.8224
을지로입구,2021,29769.99452,30091.49863
을지로입구,2022,35698.44932,36332.24384
을지로입구,2023,44178.91233,44959.2137
을지로입구,2024,45474.22628,46347.56204
이대,2019,19843.51507,21013.36986
이대,2020,10158.45082,10549.04098
이대,2021,10392.94247,10878.34521
이대,2022,13043.62192,13880.73973
이대,2023,15541.25753,16818.12329
이대,2024,15703.64964,17173.78467
잠실(송파구청),2019,86771.76986,83485.56438
잠실(송파구청),2020,55960.0082,54753.97814
잠실(송파구청),2021,56246.54795,55398.41644
잠실(송파구청),2022,68604.45479,67452.68219
잠실(송파구청),2023,75863.93151,74984.59726
잠실(송파구청),2024,77513.40511,76142.08759
잠실나루,2019,16122.82192,15709.85479
잠실나루,2020,11297.91803,10946.65301
잠실나루,2021,11284.36712,11018.07945
잠실나루,2022,12424.46301,12108.87397
잠실나루,2023,13856.74521,13460.21918
잠실나루,2024,13894.22263,13500.41606
잠실새내,2019,24788.67123,25076.75616
잠실새내,2020,16892.10383,17175.55738
잠실새내,2021,17137.87123,17252.23836
잠실새내,2022,19661,19821.90959
잠실새내,2023,22007.74247,22014.90959
잠실새내,2024,22989.88321,22681.28832
종합운동장,2019,13117.27945,14714.98904
종합운동장,2020,5960.278689,6494.718579
종합운동장,2021,6105.594521,6604.178082
종합운동장,2022,10597.24384,11778.58082
종합운동장,2023,11653.44384,12915.44932
종합운동장,2024,13537.37226,15018.26642
충정로(경기대입구),2019,10888.30411,11573.45479
충정로(경기대입구),2020,8045.300546,8443.371585
충정로(경기대입구),2021,7843.49863,8221.358904
충정로(경기대입구),2022,8503.723288,9040.646575
충정로(경기대입구),2023,9302.246575,9816.591781
충정로(경기대입구),2024,9335.970803,9831.357664
한양대,2019,11089.42192,12596.25753
한양대,2020,5824.084699,6287.882514
한양대,2021,5892.682192,6227.715068
한양대,2022,9324.128767,10212.1589
한양대,2023,10246.97808,11283.85205
한양대,2024,10019.98905,11023.91241
합정,2019,33936.53425,36349.04658
합정,2020,25348.0082,26983.62022
합정,2021,25653.52329,26949.76712
합정,2022,29077.60822,31405.41644
합정,2023,31704.1863,34645.0137
합정,2024,31655.61314,34354.10949
홍대입구,2019,80760.11781,86698.77534
홍대입구,2020,45874.71038,49000.81148
홍대입구,2021,45350.9726,47221.42466
홍대입구,2022,57408.03288,61095.94247
홍대입구,2023,67687.52877,72685.29863
홍대입구,2024,71032.64964,76525.25182
